City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Kahului,US,20.8947,-156.47,73.4,64,20,10.36,few clouds
139,Palampur,IN,32.1167,76.5333,78.91,22,37,7.49,scattered clouds
140,Fez,MA,34.0372,-4.9998,57.2,88,0,5.75,clear sky
141,Vitim,RU,59.4511,112.5578,33.91,83,100,8.95,light snow
142,Fort Nelson,CA,58.8053,-122.7002,35.6,60,40,2.3,scattered clouds
143,Lebu,CL,-37.6167,-73.65,56.01,96,44,7.45,scattered clouds
144,San Rafael,AR,-34.6177,-68.3301,62.13,55,0,8.23,clear sky
145,Lompoc,US,34.6391,-120.4579,51.8,71,41,3.44,scattered clouds
146,Saint-Philippe,RE,-21.3585,55.7679,82.4,69,100,3.44,light rain
147,Belaya Gora,RU,68.5333,146.4167,15.17,71,10,2.59,clear sky
148,Phek,IN,25.6667,94.5,81.23,12,1,6.51,clear sky
149,Jamestown,US,42.097,-79.2353,46.4,57,90,10.36,overcast clouds
150,Saint-Francois,FR,46.4154,3.9054,28.99,100,0,1.92,clear sky
151,Mandera,KE,3.9366,41.867,82.72,59,69,15.01,broken clouds
152,Nishihara,JP,26.1842,127.7558,71.6,64,90,12.66,overcast clouds
153,Buraydah,SA,26.326,43.975,69.8,60,0,17.27,clear sky
154,Barzas,RU,55.7167,86.3167,41.0,48,0,17.9,light snow
155,Floro,NO,61.5996,5.0328,33.8,93,40,5.75,light snow
156,Port-Gentil,GA,-0.7193,8.7815,80.64,78,100,4.16,overcast clouds
157,Mount Isa,AU,-20.7333,139.5,95.0,14,1,5.75,clear sky
158,Nanchong,CN,30.7951,106.0847,65.75,71,95,7.63,overcast clouds
159,Nouakchott,MR,18.0858,-15.9785,77.0,36,0,17.27,clear sky
160,Winslow,US,35.0242,-110.6974,60.01,28,1,4.61,clear sky
161,Vao,NC,-22.6667,167.4833,75.07,84,88,23.2,overcast clouds
162,Juli,PE,-16.2167,-69.45,41.59,83,82,4.18,broken clouds
163,Galle,LK,6.0367,80.217,84.96,66,71,4.07,broken clouds
164,Taseyevo,RU,57.2169,94.8978,37.15,76,99,12.91,light snow
165,Kaeo,NZ,-35.1,173.7833,62.01,85,50,7.0,light rain
166,Constitucion,CL,-35.3333,-72.4167,57.13,84,26,7.16,scattered clouds
167,Hithadhoo,MV,-0.6,73.0833,82.76,64,69,5.37,broken clouds
168,Berlevag,NO,70.8578,29.0864,28.4,59,0,18.41,clear sky
169,Chernyshevskiy,RU,63.0128,112.4714,28.11,86,59,9.66,light snow
170,Thompson,CA,55.7435,-97.8558,17.6,62,20,10.36,few clouds
171,Tecoanapa,MX,16.5167,-98.75,77.25,73,0,4.74,clear sky
172,Bougouni,ML,11.417,-7.479,84.61,39,94,8.16,overcast clouds
173,Deputatskiy,RU,69.3,139.9,7.12,78,4,4.09,clear sky
174,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,86,1,3.44,clear sky
175,Roma,US,43.2128,-75.4557,48.0,76,1,3.44,clear sky
176,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,92,20,3.44,few clouds
177,Poya,NC,-21.35,165.15,75.0,92,100,8.7,overcast clouds
178,Saint-Malo,FR,48.5,-1.8333,37.4,75,0,4.61,clear sky
179,Pitimbu,BR,-7.4706,-34.8086,75.2,100,75,3.44,broken clouds
180,Chalette-Sur-Loing,FR,48.0134,2.7359,30.0,80,0,7.4,clear sky
181,Huarmey,PE,-10.0681,-78.1522,68.68,84,100,8.16,overcast clouds
182,Margate,GB,51.3813,1.3862,42.01,80,14,3.0,few clouds
183,Vila Velha,BR,-20.3297,-40.2925,75.2,69,75,12.66,broken clouds
184,Capreol,CA,46.706,-80.9225,39.2,87,75,3.44,broken clouds
185,Leningradskiy,RU,69.3833,178.4167,5.13,91,95,6.35,overcast clouds
186,Abha,SA,18.2164,42.5053,68.0,45,0,4.61,clear sky
187,Clyde River,CA,70.4692,-68.5914,-4.0,84,90,11.5,overcast clouds
188,Egvekinot,RU,66.3167,-179.1667,10.18,86,100,8.84,overcast clouds
189,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,0,1.14,clear sky
190,Abu Samrah,SY,35.3029,37.1841,51.46,52,1,2.64,clear sky
191,Mandalgovi,MN,45.7625,106.2708,53.78,15,75,19.57,broken clouds
192,Flinders,AU,-34.5833,150.8552,80.01,34,74,5.99,broken clouds
193,Chapais,CA,49.7834,-74.8492,39.2,81,1,4.61,clear sky
194,Nueva Gerona,CU,21.8833,-82.8,78.3,62,0,17.09,light rain
195,Comodoro Rivadavia,AR,-45.8667,-67.5,66.2,55,0,10.36,clear sky
196,Kariba,ZW,-16.5167,28.8,66.78,76,86,2.08,overcast clouds
197,Carnarvon,AU,-24.8667,113.6333,80.24,39,0,18.92,clear sky
198,Yar-Sale,RU,66.8333,70.8333,23.31,89,63,3.42,broken clouds
199,Kholm,RU,59.2667,32.85,40.26,94,100,7.65,light rain
200,Guerrero Negro,MX,27.9769,-114.0611,58.05,77,13,14.9,few clouds
201,Hamilton,US,39.1834,-84.5333,54.0,87,20,4.12,few clouds
202,Mahebourg,MU,-20.4081,57.7,82.4,74,40,12.66,light rain
203,Emirdag,TR,39.0197,31.15,46.4,76,75,5.75,broken clouds
204,Salalah,OM,17.0151,54.0924,82.4,65,0,2.3,clear sky
205,Brenes,ES,37.5494,-5.8714,61.0,77,0,6.91,clear sky
206,Khatanga,RU,71.9667,102.5,17.33,90,99,15.5,overcast clouds
207,Acapulco,MX,16.8634,-99.8901,76.91,74,0,6.17,clear sky
208,Fairbanks,US,64.8378,-147.7164,44.6,42,90,1.3,haze
209,Lukow,PL,51.929,22.3796,37.99,48,100,16.71,light rain
210,Wattegama,LK,6.7989,81.4808,91.42,50,54,2.13,broken clouds
211,Airai,TL,-8.9266,125.4092,73.81,47,4,4.05,clear sky
212,Port Elizabeth,ZA,-33.918,25.5701,64.4,100,20,5.75,fog
213,Maceio,BR,-9.6658,-35.7353,73.4,100,20,2.3,few clouds
214,Palasa,IN,18.7667,84.4167,94.1,41,14,10.94,few clouds
215,Labuhan,ID,-6.8844,112.2051,85.15,66,16,4.0,few clouds
216,Kruisfontein,ZA,-34.0033,24.7314,64.99,95,18,5.5,few clouds
217,San Andres,CO,12.5847,-81.7006,80.6,83,40,12.66,scattered clouds
218,Bilibino,RU,68.0546,166.4372,12.36,67,71,1.25,broken clouds
219,Sitka,US,57.0531,-135.33,44.6,76,90,13.8,light rain
220,Bouloupari,NC,-21.8667,166.05,77.0,78,90,17.27,overcast clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,72.0,48,59,13.47,broken clouds
222,Khromtau,KZ,50.2503,58.4347,45.97,58,15,15.1,few clouds
223,Norman Wells,CA,65.282,-126.8329,35.6,48,20,5.75,few clouds
224,Aktau,KZ,43.65,51.2,68.0,18,0,17.9,clear sky
225,Yining,CN,29.0361,114.5636,60.15,95,100,3.33,light rain
226,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,75,10.36,broken clouds
227,Reconquista,AR,-29.15,-59.65,61.27,80,75,4.47,broken clouds
228,Hokitika,NZ,-42.7167,170.9667,59.34,73,0,9.19,clear sky
229,Non Sang,TH,16.8687,102.5664,97.0,46,40,4.61,scattered clouds
230,Pangnirtung,CA,66.1451,-65.7125,10.65,96,100,2.44,light snow
231,Baddomalhi,PK,31.9928,74.6683,91.4,22,40,5.75,scattered clouds
232,Wilmington,US,34.2257,-77.9447,62.6,77,20,3.44,few clouds
233,Carballo,ES,43.213,-8.691,51.01,100,100,2.3,fog
234,Morgan City,US,29.6994,-91.2068,68.0,77,1,12.66,clear sky
235,Bubaque,GW,11.2833,-15.8333,76.89,81,29,13.4,scattered clouds
